utc,total,terrestrial,cosmic,thunderstorm
2021-08-05 00:00:00,101.0,94.0,4.0,3.0
2021-08-05 00:00:01,95.0,83.0,9.0,3.0
2021-08-05 00:00:02,110.0,97.0,11.0,2.0
2021-08-05 00:00:03,106.0,99.0,3.0,4.0
2021-08-05 00:00:04,95.0,85.0,7.0,3.0
2021-08-05 00:00:05,118.0,106.0,8.0,4.0
2021-08-05 00:00:06,106.0,98.0,4.0,4.0
2021-08-05 00:00:07,95.0,88.0,4.0,3.0
2021-08-05 00:00:08,107.0,102.0,4.0,1.0
2021-08-05 00:00:09,101.0,87.0,5.0,9.0
2021-08-05 00:00:10,103.0,93.0,9.0,1.0
2021-08-05 00:00:11,104.0,89.0,7.0,8.0
2021-08-05 00:00:12,119.0,105.0,6.0,8.0
2021-08-05 00:00:13,90.0,75.0,12.0,3.0
2021-08-05 00:00:14,117.0,102.0,10.0,5.0
2021-08-05 00:00:15,119.0,103.0,11.0,5.0
2021-08-05 00:00:16,103.0,88.0,13.0,2.0
2021-08-05 00:00:17,102.0,93.0,5.0,4.0
2021-08-05 00:00:18,117.0,104.0,6.0,7.0
2021-08-05 00:00:19,106.0,97.0,5.0,4.0
2021-08-05 00:00:20,93.0,86.0,4.0,3.0
2021-08-05 00:00:21,98.0,85.0,10.0,3.0
2021-08-05 00:00:22,97.0,89.0,6.0,2.0
2021-08-05 00:00:23,109.0,99.0,5.0,5.0
2021-08-05 00:00:24,109.0,93.0,11.0,5.0
2021-08-05 00:00:25,104.0,94.0,6.0,4.0
2021-08-05 00:00:26,102.0,93.0,5.0,4.0
2021-08-05 00:00:27,115.0,97.0,11.0,7.0
2021-08-05 00:00:28,105.0,96.0,7.0,2.0
2021-08-05 00:00:29,98.0,85.0,10.0,3.0
2021-08-05 00:00:30,108.0,96.0,4.0,8.0
2021-08-05 00:00:31,99.0,88.0,8.0,3.0
2021-08-05 00:00:32,92.0,82.0,7.0,3.0
2021-08-05 00:00:33,108.0,94.0,9.0,5.0
2021-08-05 00:00:34,98.0,88.0,6.0,4.0
2021-08-05 00:00:35,117.0,108.0,5.0,4.0
2021-08-05 00:00:36,106.0,94.0,9.0,3.0
2021-08-05 00:00:37,118.0,103.0,8.0,7.0
2021-08-05 00:00:38,119.0,108.0,8.0,3.0
2021-08-05 00:00:39,120.0,106.0,7.0,7.0
2021-08-05 00:00:40,94.0,83.0,6.0,5.0
2021-08-05 00:00:41,108.0,100.0,5.0,3.0
2021-08-05 00:00:42,123.0,113.0,7.0,3.0
2021-08-05 00:00:43,105.0,98.0,4.0,3.0
2021-08-05 00:00:44,110.0,92.0,10.0,8.0
2021-08-05 00:00:45,97.0,88.0,6.0,3.0
2021-08-05 00:00:46,112.0,95.0,12.0,5.0
2021-08-05 00:00:47,98.0,86.0,7.0,5.0
2021-08-05 00:00:48,99.0,88.0,7.0,4.0
2021-08-05 00:00:49,105.0,89.0,10.0,6.0
2021-08-05 00:00:50,98.0,89.0,3.0,6.0
2021-08-05 00:00:51,92.0,79.0,8.0,5.0
2021-08-05 00:00:52,98.0,83.0,12.0,3.0
2021-08-05 00:00:53,94.0,85.0,5.0,4.0
2021-08-05 00:00:54,101.0,89.0,8.0,4.0
2021-08-05 00:00:55,106.0,90.0,13.0,3.0
2021-08-05 00:00:56,100.0,87.0,10.0,3.0
2021-08-05 00:00:57,117.0,100.0,12.0,5.0
2021-08-05 00:00:58,99.0,83.0,12.0,4.0
2021-08-05 00:00:59,109.0,98.0,5.0,6.0
2021-08-05 00:01:00,109.0,101.0,5.0,3.0
2021-08-05 00:01:01,96.0,89.0,3.0,4.0
2021-08-05 00:01:02,102.0,88.0,13.0,1.0
2021-08-05 00:01:03,107.0,98.0,6.0,3.0
2021-08-05 00:01:04,104.0,91.0,9.0,4.0
2021-08-05 00:01:05,120.0,112.0,5.0,3.0
2021-08-05 00:01:06,103.0,90.0,5.0,8.0
2021-08-05 00:01:07,112.0,102.0,6.0,4.0
2021-08-05 00:01:08,90.0,76.0,6.0,8.0
2021-08-05 00:01:09,105.0,95.0,6.0,4.0
2021-08-05 00:01:10,141.0,130.0,6.0,5.0
2021-08-05 00:01:11,120.0,109.0,6.0,5.0
2021-08-05 00:01:12,115.0,103.0,9.0,3.0
2021-08-05 00:01:13,121.0,111.0,7.0,3.0
2021-08-05 00:01:14,101.0,89.0,6.0,6.0
2021-08-05 00:01:15,104.0,94.0,7.0,3.0
2021-08-05 00:01:16,96.0,88.0,7.0,1.0
2021-08-05 00:01:17,114.0,105.0,5.0,4.0
2021-08-05 00:01:18,121.0,108.0,7.0,6.0
2021-08-05 00:01:19,104.0,96.0,3.0,5.0
2021-08-05 00:01:20,97.0,86.0,6.0,5.0
2021-08-05 00:01:21,120.0,108.0,7.0,5.0
2021-08-05 00:01:22,120.0,106.0,11.0,3.0
2021-08-05 00:01:23,115.0,106.0,5.0,4.0
2021-08-05 00:01:24,92.0,77.0,10.0,5.0
2021-08-05 00:01:25,93.0,83.0,4.0,6.0
2021-08-05 00:01:26,106.0,95.0,5.0,6.0
2021-08-05 00:01:27,96.0,92.0,1.0,3.0
2021-08-05 00:01:28,128.0,119.0,7.0,2.0
2021-08-05 00:01:29,97.0,89.0,5.0,3.0
2021-08-05 00:01:30,111.0,102.0,4.0,5.0
2021-08-05 00:01:31,99.0,90.0,6.0,3.0
2021-08-05 00:01:32,113.0,103.0,6.0,4.0
2021-08-05 00:01:33,117.0,105.0,8.0,4.0
2021-08-05 00:01:34,113.0,107.0,4.0,2.0
2021-08-05 00:01:35,109.0,99.0,5.0,5.0
2021-08-05 00:01:36,97.0,85.0,6.0,6.0
2021-08-05 00:01:37,114.0,105.0,6.0,3.0
2021-08-05 00:01:38,104.0,95.0,5.0,4.0
