utc,terrestrial,thunderstorm,cosmic
2023-05-23 06:00:00,68.0,4.2,7.25
2023-05-23 06:00:20,69.9,4.5,4.7
2023-05-23 06:00:40,66.35,4.15,6.45
2023-05-23 06:01:00,69.8,4.25,5.65
2023-05-23 06:01:20,67.05,3.05,6.3
2023-05-23 06:01:40,71.25,3.9,6.4
2023-05-23 06:02:00,70.45,4.35,5.45
2023-05-23 06:02:20,65.55,5.0,6.3
2023-05-23 06:02:40,73.1,4.0,5.6
2023-05-23 06:03:00,70.65,3.6,6.25
2023-05-23 06:03:20,69.65,3.3,5.55
2023-05-23 06:03:40,68.95,4.3,6.6
2023-05-23 06:04:00,70.8,3.3,6.2
2023-05-23 06:04:20,71.1,4.0,6.5
2023-05-23 06:04:40,70.8,4.2,5.45
2023-05-23 06:05:00,67.8,4.05,6.25
2023-05-23 06:05:20,74.05,3.25,6.05
2023-05-23 06:05:40,73.8,4.7,6.4
2023-05-23 06:06:00,72.55,3.65,6.2
2023-05-23 06:06:20,72.8,3.55,6.85
2023-05-23 06:06:40,72.15,4.4,5.7
2023-05-23 06:07:00,69.9,4.3,6.8
2023-05-23 06:07:20,71.75,3.55,5.6
2023-05-23 06:07:40,69.45,2.95,5.5
2023-05-23 06:08:00,68.75,3.55,5.25
2023-05-23 06:08:20,69.3,3.5,5.9
2023-05-23 06:08:40,70.0,3.75,7.4
2023-05-23 06:09:00,71.5,3.45,5.0
2023-05-23 06:09:20,71.05,4.25,5.9
2023-05-23 06:09:40,69.55,3.0,5.85
2023-05-23 06:10:00,71.05,4.65,5.95
2023-05-23 06:10:20,69.65,3.6,5.45
2023-05-23 06:10:40,68.2,4.35,5.8
2023-05-23 06:11:00,70.05,4.15,6.0
2023-05-23 06:11:20,68.8,3.85,6.2
2023-05-23 06:11:40,72.9,3.85,6.75
2023-05-23 06:12:00,69.7,3.8,6.1
2023-05-23 06:12:20,69.75,4.2,6.3
2023-05-23 06:12:40,72.9,3.4,6.2
2023-05-23 06:13:00,67.3,4.1,5.1
2023-05-23 06:13:20,67.3,4.05,5.55
2023-05-23 06:13:40,73.5,4.05,6.2
2023-05-23 06:14:00,69.25,3.45,6.35
